,City,Latitude,Longitude,Humidity,Pressure,Wind Speed (Mph),Cloud Cover (%),Temperature (F)
138,yanam,16.73,82.22,74,1011,4.7,40,86.0
139,san luis de palenque,5.42,-71.73,87,1015,4.36,76,75.87
140,emerald,-23.53,148.17,27,1015,11.41,0,74.1
141,komsomolskiy,40.43,71.72,40,1014,2.24,85,71.6
142,ponta do sol,32.67,-17.1,77,1024,4.7,20,60.03
143,avarua,-21.21,-159.78,65,1013,8.05,99,77.0
144,saint marys,30.73,-81.55,72,1014,6.93,75,62.4
145,cape town,-33.93,18.42,100,1021,1.12,100,52.45
146,hithadhoo,-0.6,73.08,70,1012,6.24,2,85.62
147,pimentel,-6.84,-79.93,85,1015,11.3,2,68.67
148,puerto penasco,31.32,-113.53,50,1006,3.0,100,79.0
149,sobolevo,54.43,31.9,76,1014,10.31,0,36.43
150,chipinge,-20.19,32.62,66,1021,1.81,1,57.79
151,bossangoa,6.49,17.46,69,1011,5.3,95,74.43
152,beloha,-25.17,45.05,90,1019,2.3,14,69.44
153,honiara,-9.43,159.95,66,1006,10.29,20,89.6
154,santa maria,-29.68,-53.81,73,1020,0.98,83,57.16
155,ribeira grande,38.52,-28.7,88,1008,24.43,99,65.28
156,ust-kut,56.79,105.77,50,1012,9.86,68,43.83
157,talnakh,69.49,88.4,85,1021,4.47,0,19.4
158,challapata,-18.9,-66.77,17,1020,3.47,72,48.74
159,hobart,-42.88,147.33,58,985,10.29,75,56.08
160,queanbeyan,-35.35,149.23,65,1003,21.92,75,44.6
161,kattivakkam,13.22,80.32,74,1011,16.11,20,88.43
162,itambacuri,-18.03,-41.69,79,1018,1.86,0,64.47
163,sola,-13.88,167.55,89,1008,10.89,75,84.2
164,suffolk,40.87,-72.8,87,1011,16.11,90,53.51
165,gat,31.61,34.76,55,1008,2.53,0,58.66
166,ukiah,39.15,-123.21,29,1019,11.41,1,54.37
167,fortuna,40.6,-124.16,93,1021,6.93,1,50.58
168,bolshevik,54.01,27.57,72,1012,6.71,53,33.8
169,lagdo,9.05,13.73,63,1011,3.2,100,79.47
170,puerto escondido,15.85,-97.07,66,1014,7.85,6,81.54
171,saint-georges,12.06,-61.75,78,1015,17.22,20,80.6
172,alofi,-19.06,-169.92,90,1009,36.98,100,74.91
173,qui nhon,13.77,109.23,69,1011,9.51,1,83.07
174,tuktoyaktuk,69.45,-133.04,77,1021,14.99,5,6.8
175,almaznyy,48.04,40.05,57,1010,4.47,5,48.2
176,ceres,37.59,-120.96,26,1016,12.75,1,67.89
177,nishihara,26.18,127.76,69,1018,11.41,75,77.16
178,fuerte olimpo,-21.04,-57.87,53,1015,3.09,3,74.57
179,clyde river,70.47,-68.59,100,1010,5.3,75,19.4
180,barranca,-10.75,-77.77,90,1018,3.62,4,66.22
181,gualaquiza,-3.4,-78.55,59,1018,0.76,95,65.46
182,airai,-8.93,125.41,39,1009,4.21,5,75.31
183,ixtapa,20.7,-105.2,61,1014,1.48,0,71.87
184,rincon,32.3,-81.24,67,1013,5.82,1,57.36
185,olafsvik,64.89,-23.71,81,1012,17.16,75,36.25
186,souillac,-20.52,57.52,69,1021,14.99,20,75.2
187,hvolsvollur,63.75,-20.22,72,1010,5.01,86,37.99
188,ambulu,-8.35,113.61,66,1010,5.84,10,85.53
189,kibaya,-5.3,36.57,63,1018,3.85,82,60.03
190,prince rupert,54.32,-130.32,81,1017,3.36,75,46.4
191,muros,42.78,-9.06,96,1015,18.01,100,57.67
192,jardim,-21.48,-56.14,60,1016,3.02,0,69.94
193,usogorsk,63.41,48.69,92,1009,4.56,100,35.37
194,moron,-34.65,-58.62,100,1029,3.15,0,58.3
195,montepuez,-13.13,39.0,84,1018,6.38,98,69.4
196,khatanga,71.97,102.5,95,1014,19.55,100,19.42
197,geraldton,-28.77,114.6,22,1020,23.04,0,75.2
198,ormstown,45.13,-74.0,100,1005,7.0,100,54.01
199,lewisporte,49.25,-55.05,44,1026,8.05,75,41.0
200,srednekolymsk,67.45,153.68,95,1001,8.97,94,34.02
201,sitka,57.05,-135.33,81,1016,9.17,75,42.8
202,chuy,-33.7,-53.46,90,1019,7.81,99,53.83
203,puerto ayora,-0.74,-90.35,90,1012,5.01,32,77.0
204,hami,42.8,93.45,16,1011,22.32,14,84.11
205,bambous virieux,-20.34,57.76,69,1021,14.99,20,75.2
206,mugur-aksy,50.35,90.5,30,1014,9.4,100,44.19
207,bonito,-21.12,-56.48,58,1016,1.7,12,70.23
208,mocuba,-16.84,36.99,93,1019,2.06,12,66.87
209,cidreira,-30.18,-50.21,74,1019,9.13,0,60.4
210,sidi ali,36.1,0.42,67,1020,5.59,0,57.49
211,hobyo,5.35,48.53,70,1012,11.63,100,85.24
212,maragogi,-9.01,-35.22,88,1014,2.93,98,76.68
213,moberly,39.42,-92.44,75,1016,1.83,8,52.12
214,torquay,50.46,-3.51,95,998,16.98,21,46.6
215,san quintin,30.48,-115.95,86,1011,7.63,60,62.8
216,codajas,-3.84,-62.06,97,1014,2.06,100,74.86
217,karwar,14.8,74.13,63,1012,3.13,76,88.2
218,lucan,53.36,-6.44,93,996,9.17,75,40.89
219,cayenne,4.93,-52.33,100,1014,9.89,100,77.0
220,sur,22.57,59.53,37,1011,5.53,0,94.03
221,mahajanga,-15.72,46.32,69,1016,11.7,93,73.4
222,envira,-7.3,-70.22,93,1014,1.81,78,72.95
223,ushtobe,45.25,77.98,41,1021,5.03,0,67.32
224,horice,50.37,15.63,92,1006,5.99,100,47.28
225,andenes,69.31,16.12,80,1008,8.05,3,33.8
226,tiksi,71.69,128.87,92,1006,3.94,87,15.76
227,zhezkazgan,47.8,67.71,58,1024,8.95,0,53.6
228,cururupu,-1.83,-44.87,96,1013,1.25,81,74.48
229,karpathos,35.51,27.21,87,1011,8.05,71,60.8
230,marovoay,-16.1,46.63,69,1016,7.25,92,73.4
231,kununurra,-15.77,128.73,19,1013,14.99,44,87.8
232,dicabisagan,17.08,122.42,60,1012,6.87,30,87.15
233,hirado,33.36,129.55,60,1018,8.05,40,73.18
234,kabare,-2.47,28.82,55,1017,1.77,10,60.58
235,puerto del rosario,28.5,-13.86,72,1022,16.11,75,66.2
236,maldonado,-34.67,-54.92,82,1021,12.75,40,59.85
237,balclutha,-46.23,169.75,55,1014,4.0,0,62.01
238,andros town,24.7,-77.77,83,1015,8.05,75,77.0
239,salalah,17.02,54.09,88,1011,5.82,75,82.4
240,santa isabel do rio negro,-0.41,-65.02,92,1013,1.41,69,75.11
241,tutoia,-2.76,-42.27,90,1013,4.38,100,76.78
242,yerbogachen,61.28,108.01,71,1015,12.97,87,33.35
243,ambilobe,-13.2,49.05,77,1017,3.27,97,74.64
244,esperance,-33.87,121.9,42,1030,10.29,2,64.4
245,barahona,18.21,-71.1,79,1017,3.38,8,76.41
246,belfast,54.58,-5.93,81,994,8.05,28,44.26
247,conop,46.1,21.88,100,1008,6.93,20,50.65
248,birao,10.28,22.79,18,1011,4.74,12,76.44
249,matagami,49.75,-77.63,100,1005,11.41,90,33.8
250,moyale,3.52,39.06,71,1016,6.73,76,67.06
251,hinton,53.4,-117.59,42,1012,4.59,40,41.45
252,cap malheureux,-19.98,57.61,69,1021,14.99,20,75.2
253,saint-philippe,-21.36,55.77,73,1020,8.05,51,72.61
254,fairbanks,64.84,-147.72,35,1007,14.99,1,38.3
255,hambantota,6.12,81.12,89,1012,2.24,75,84.2
256,hammerfest,70.66,23.68,68,1010,14.99,6,30.2
257,mwanza,-2.52,32.9,62,1016,9.15,97,67.33
258,lluta,-16.01,-72.01,23,1020,3.2,93,54.97
259,mittagong,-34.45,150.45,54,1004,1.01,90,60.01
260,healdsburg,38.61,-122.87,36,1018,6.93,1,60.06
261,husavik,66.04,-17.34,80,1013,12.75,90,35.6
262,kalemie,-5.95,29.19,69,1015,1.3,29,71.24
263,college,64.86,-147.8,35,1007,14.99,1,37.99
264,labuhan,-6.88,112.21,70,1009,3.58,14,85.14
265,kurumkan,54.3,110.3,30,1004,12.59,9,57.87
266,voroshnevo,51.65,36.02,90,987,1.99,39,46.99
267,tucurui,-3.77,-49.67,93,1014,3.04,100,74.34
268,jurado,7.11,-77.76,89,1013,3.13,100,77.29
269,olinda,-8.01,-34.86,88,1014,3.36,20,75.2
270,vao,-22.67,167.48,78,1013,19.64,11,76.71
271,petropavlovsk-kamchatskiy,53.05,158.65,36,1010,15.66,40,48.2
272,la reforma,25.08,-108.05,83,1007,2.84,0,73.94
273,taksimo,56.34,114.88,48,998,11.45,68,45.91
274,iqaluit,63.75,-68.51,86,1017,3.36,90,28.2
275,wanning,18.8,110.4,67,1013,6.22,22,82.67
276,isoka,-10.16,32.63,68,1018,1.03,2,60.01
277,rawson,-43.3,-65.1,79,1024,15.32,1,53.24
278,charters towers,-20.1,146.27,29,1012,12.59,20,78.3
279,mansa,29.98,75.38,18,1007,5.19,0,96.94
280,huarmey,-10.07,-78.15,81,1018,6.49,8,69.39
281,harnosand,62.63,17.94,86,1010,6.93,100,37.2
282,torbay,47.67,-52.73,80,1026,13.87,20,30.45
283,bac lieu,9.29,105.72,57,1009,18.28,42,89.89
284,chifeng,42.27,118.96,10,1001,10.94,1,90.82
285,luangwa,-15.62,30.42,67,1019,1.54,2,66.49
286,hsinchu,24.8,120.97,47,1010,4.0,94,82.85
287,safranbolu,41.25,32.69,64,1011,0.49,31,52.92
288,yumen,40.28,97.2,7,1009,15.68,5,83.68
289,tara,56.89,74.37,60,1006,10.63,77,53.8
290,nantucket,41.28,-70.1,87,1018,24.16,90,48.87
291,half moon bay,37.46,-122.43,81,1020,8.05,1,55.29
292,encruzilhada do sul,-30.54,-52.52,70,1020,3.62,25,50.9
293,kangaatsiaq,68.31,-53.46,88,1014,16.53,100,33.84
294,san carlos de bariloche,-41.15,-71.31,52,1024,10.29,68,42.8
295,korsakovo,53.27,37.36,88,1011,9.19,100,41.0
296,sisimiut,66.94,-53.67,90,1014,4.21,76,31.37
297,yulin,22.63,110.15,69,1013,6.98,93,80.22
298,ahipara,-35.17,173.17,67,1024,7.2,97,64.81
299,arraial do cabo,-22.97,-42.03,78,1016,3.36,100,64.4
300,aklavik,68.22,-135.01,44,1018,11.41,20,21.2
301,vanavara,60.34,102.28,57,1017,9.48,0,39.31
302,saint anthony,45.02,-93.22,35,1012,6.15,1,54.73
303,ust-nera,64.57,143.2,75,1000,3.53,99,30.94
304,snejbjerg,56.14,8.9,93,997,5.82,75,39.13
305,plettenberg bay,-34.05,23.37,49,1021,5.93,15,61.59
306,longyearbyen,78.22,15.64,95,1011,3.69,99,24.3
307,mana,5.66,-53.78,91,1014,8.21,100,78.33
308,usinsk,65.99,57.53,93,1010,1.59,15,28.08
309,effium,6.63,8.06,90,1014,17.49,100,73.35
310,upernavik,72.79,-56.15,85,1013,5.23,100,29.03
311,vinukonda,16.05,79.75,45,1010,5.99,44,93.92
312,usak,38.5,29.42,68,1013,1.25,24,49.77
313,opuwo,-18.06,13.84,28,1016,7.54,0,64.65
314,saint-joseph,-21.37,55.62,73,1020,8.05,45,72.34
315,avenal,36.0,-120.13,30,1014,8.01,47,74.44
316,murray bridge,-35.12,139.27,82,1013,28.41,56,56.48
317,leh,34.17,77.58,14,1028,1.45,0,43.63
318,thinadhoo,0.53,72.93,71,1012,7.4,51,85.73
319,san pedro,14.35,121.02,56,1011,9.17,20,92.75
320,san juan,-31.54,-68.54,37,1022,11.56,0,65.55
321,port blair,11.67,92.75,62,1010,7.18,98,88.32
322,isagarh,24.83,77.88,15,1010,5.88,6,97.03
323,asau,46.43,26.4,88,1008,2.66,67,50.0
324,san carlos,9.66,-68.58,66,1013,3.09,48,79.09
325,standerton,-26.93,29.24,50,1025,1.72,0,45.91
326,kismayo,-0.36,42.55,78,1013,11.74,100,82.51
327,basco,20.45,121.97,80,1013,12.17,87,81.03
328,mayumba,-3.43,10.66,90,1012,5.21,79,78.19
329,grindavik,63.84,-22.43,65,1010,4.7,75,41.0
330,keti bandar,24.14,67.45,61,1012,14.25,0,85.86
331,palauig,15.44,119.9,62,1011,6.98,67,86.7
332,cairns,-16.92,145.77,58,1010,12.75,26,87.53
333,aldan,58.6,125.39,71,993,2.21,100,35.65
334,smithers,54.78,-127.17,39,1014,12.75,40,50.0
335,kyshtovka,56.55,76.63,74,1008,8.88,70,50.13
336,adrar,20.5,-10.07,14,1015,15.23,0,79.21
337,kudahuvadhoo,2.67,72.89,73,1013,9.26,81,85.15
338,malazgirt,39.14,42.54,37,1014,2.53,25,50.0
339,san matias,-16.37,-58.4,71,1015,3.36,57,74.88
340,los llanos de aridane,28.66,-17.92,82,1024,8.05,0,64.4
341,alekseyevka,50.63,38.69,56,1010,5.23,0,54.34
342,rochester,43.15,-77.62,87,1005,11.41,90,50.11
343,san jose,37.34,-121.89,62,1019,11.41,75,59.16
344,grand gaube,-20.01,57.66,69,1021,14.99,20,75.2
345,yatou,37.15,122.38,53,1009,13.47,0,76.26
346,puhja,58.34,26.31,77,1012,3.0,6,35.11
347,the valley,18.22,-63.06,78,1019,3.36,40,79.86
348,faya,18.39,42.45,93,1024,3.4,0,61.7
349,pouembout,-21.13,164.9,62,1011,5.53,39,83.03
350,concepcion del oro,24.63,-101.42,26,1016,7.45,26,65.48
351,palmer,42.16,-72.33,81,1013,12.75,90,52.5
352,acapulco,16.86,-99.89,83,1013,3.36,20,77.0
353,alberton,46.82,-64.07,20,1024,41.0,100,42.01
354,mount gambier,-37.83,140.77,81,1006,19.46,90,51.8
355,capaci,38.17,13.24,60,1018,11.01,3,62.82
356,broome,42.25,-75.83,100,1005,6.93,90,53.58
357,derzhavinsk,51.1,66.32,49,1020,16.84,0,58.78
358,tselinnoye,53.08,85.67,40,1019,18.05,69,56.44
359,kushmurun,52.45,64.63,47,1016,19.66,8,61.7
360,minna,9.61,6.56,72,1012,7.0,97,78.21
361,carnarvon,-24.87,113.63,13,1017,14.99,0,86.0
362,ammapettai,10.8,79.33,66,1011,5.82,20,86.0
363,puerto madero,14.72,-92.42,88,1012,4.38,40,82.4
364,bonthe,7.53,-12.51,89,1011,4.65,81,79.7
365,lufilufi,-13.87,-171.6,70,1008,5.82,40,91.4
366,lasa,46.62,10.7,93,1008,4.7,40,37.4
367,pangnirtung,66.15,-65.71,94,1013,2.82,99,25.38
368,gondanglegi,-7.75,112.01,63,1009,7.56,1,86.47
369,honningsvag,70.98,25.97,90,1013,13.6,0,31.77
370,deputatskiy,69.3,139.9,90,1002,1.54,100,21.38
371,narok,-1.08,35.86,53,1020,2.73,100,59.04
372,vanimo,-2.67,141.3,74,1006,6.08,100,84.74
373,marawi,8.0,124.29,79,1010,7.0,100,84.0
374,la ronge,55.1,-105.28,75,1006,16.11,90,44.6
375,ust-koksa,50.27,85.61,33,1021,6.04,20,54.81
376,nizwa,22.93,57.53,23,1011,3.58,0,89.67
377,clinton,42.59,-82.92,100,1007,6.93,90,45.75
378,poum,-20.23,164.02,76,1011,17.36,7,80.2
379,madang,-5.22,145.8,62,1007,6.8,8,86.61
380,atasu,48.68,71.64,36,1024,4.25,0,56.57
381,bara,10.37,10.73,58,1011,6.44,100,79.59
382,dongsheng,39.82,109.98,7,1006,10.18,0,83.12
383,mega,4.05,38.3,64,1016,8.5,100,59.68
384,irtyshskiy,58.33,68.13,78,1001,15.79,95,46.31
385,maningrida,-12.07,134.27,48,1009,13.4,12,88.9
386,pervomayskiy,53.25,40.29,90,1011,8.75,70,42.12
387,arcoverde,-8.42,-37.05,80,1015,3.74,93,67.93
388,narsaq,60.92,-46.05,32,1021,16.11,6,39.2
389,antalaha,-14.9,50.28,87,1019,5.95,76,73.71
390,saint-augustin,51.23,-58.65,77,1025,8.08,95,36.86
391,kawalu,-7.38,108.21,67,1009,4.59,64,82.92
392,kidal,18.44,1.41,11,1010,13.2,89,85.66
393,quatre cocos,-20.21,57.76,69,1021,14.99,20,75.2
394,starominskaya,46.53,39.05,71,1010,2.64,0,55.85
395,pascagoula,30.37,-88.56,81,1016,9.53,1,55.45
396,contamana,-7.33,-75.02,84,1014,0.98,64,75.16
397,lagos,6.58,3.75,88,1014,3.96,20,77.0
398,harper,4.38,-7.72,83,1012,2.3,0,79.81
399,arlit,18.74,7.39,11,1009,8.61,0,85.69
400,salinopolis,-0.61,-47.36,89,1013,4.34,100,77.61
401,luwuk,-0.95,122.79,61,1009,3.29,66,86.0
402,port hardy,50.7,-127.42,87,1018,5.82,75,48.2
403,rodrigues alves,-7.74,-72.65,86,1014,1.25,100,73.69
404,chilliwack,49.17,-121.94,62,1019,3.36,75,51.48
405,caravelas,-17.71,-39.25,87,1017,1.12,30,72.84
406,bandarbeyla,9.49,50.81,71,1012,12.21,100,84.47
407,kenitra,34.26,-6.58,93,1022,5.82,0,51.8
408,arman,59.7,150.17,84,1006,8.32,100,35.28
409,alamosa,37.47,-105.87,24,1021,6.93,1,51.03
410,kahului,20.89,-156.47,57,1017,26.4,1,73.99
411,la crosse,43.8,-91.24,50,1013,1.77,1,49.14
412,marienburg,54.04,19.03,84,1004,5.99,100,49.32
413,presidencia roque saenz pena,-26.79,-60.44,56,1018,7.05,92,66.61
414,sao filipe,14.9,-24.5,68,1015,7.09,1,75.38
415,skibbereen,51.55,-9.27,81,998,6.93,20,42.8
416,mombetsu,44.35,143.35,50,1008,6.93,75,57.2
417,madimba,-10.4,40.33,90,1016,8.21,20,76.32
418,klaksvik,62.23,-6.59,87,999,10.29,100,42.8
419,zavoronezhskoye,52.88,40.55,78,1010,2.66,9,48.85
420,nemuro,43.32,145.57,63,1008,4.7,75,60.8
421,podyuga,61.09,40.86,95,1017,5.93,67,29.46
422,lubango,-14.92,13.49,37,1015,3.74,0,58.84
423,banes,20.96,-75.72,94,1016,3.36,75,75.2
424,unguia,8.04,-77.09,90,1013,1.88,100,77.32
425,leningradskiy,69.38,178.42,93,1011,4.27,0,27.88
426,dong xoai,11.53,106.92,49,1009,3.6,58,93.58
427,ilulissat,69.22,-51.1,58,1015,8.05,100,30.2
428,namibe,-15.2,12.15,60,1012,3.02,0,76.91
429,luderitz,-26.65,15.16,44,1017,8.41,0,66.83
430,roma,43.21,-75.46,87,1006,6.93,90,53.65
431,marsh harbour,26.54,-77.06,81,1014,12.88,83,78.91
432,comodoro rivadavia,-45.87,-67.5,87,1027,2.24,0,44.6
433,beli potok,44.71,20.52,82,1008,1.12,100,53.65
434,mogadishu,2.04,45.34,79,1013,14.14,99,82.99
435,fort nelson,58.81,-122.7,50,1009,8.05,75,51.8
436,nome,64.5,-165.41,56,1006,4.7,1,40.12
437,calca,-13.33,-71.95,30,1023,4.68,91,51.85
438,galiakot,23.52,74.0,13,1011,3.04,44,101.26
439,hasaki,35.73,140.83,49,1014,13.87,40,75.83
440,preobrazheniye,42.9,133.91,57,1007,13.09,26,56.46
441,viedma,-40.81,-63.0,69,1022,12.15,0,54.54
442,stepnyak,52.83,70.78,56,1015,20.83,100,57.52
443,celestun,20.87,-90.4,83,1017,12.57,1,76.87
444,lichinga,-13.31,35.24,93,1024,12.75,40,64.4
445,linares,-35.85,-71.6,58,1020,2.3,0,50.77
446,kruisfontein,-34.0,24.73,43,1020,8.32,0,58.05
